paymentTypeCode,year,month,meanFareAmount,meanTotalAmount,meanPassengerCount,medianFareAmount,medianTotalAmount,medianPassengerCount,TotalPassengers
Dispute,2019,1,7.38,8.25,1.0,6.0,6.8,1.0,580
Dispute,2018,5,12.28,13.61,1.0,8.0,9.3,1.0,17859
Dispute,2018,6,11.62,13.11,1.0,8.0,9.3,1.0,17512
Dispute,2018,7,18.99,20.25,1.0,8.0,8.8,1.0,15928
Dispute,2018,8,10.62,11.74,1.0,7.5,8.8,1.0,16475
Dispute,2018,9,10.5,11.61,1.0,7.5,8.8,1.0,15956
Dispute,2018,10,10.37,11.58,1.0,7.5,8.8,1.0,16966
Dispute,2018,11,9.76,10.8,1.0,7.0,8.3,1.0,15818
Dispute,2018,12,9.02,10.14,1.0,7.0,8.3,1.0,18377
